id,region,date,rainfall_mm,temperature_c,humidity
1,Shimla,2025-01-01,319.34,17.8,54.9
2,Manali,2025-01-01,63.29,28.2,57.9
3,Dehradun,2025-01-01,136.53,6.4,64.4
4,Nainital,2025-01-01,60.79,11.4,41.8
5,Leh,2025-01-01,333.98,16.9,88.8
6,Gangtok,2025-01-01,253.19,28.1,39.7
7,Darjeeling,2025-01-01,171.45,24.9,64.1
8,Munnar,2025-01-01,38.52,17.0,82.5
9,Kedarnath,2025-01-01,259.56,18.8,80.7
10,Kargil,2025-01-01,47.42,27.4,74.3
11,Mussoorie,2025-01-01,13.22,26.2,60.8
12,Tawang,2025-01-01,320.94,10.6,44.2
13,Cherrapunji,2025-01-01,301.29,29.4,50.9
14,Pithoragarh,2025-01-01,209.93,10.2,77.2
15,Srinagar,2025-01-01,340.57,19.7,62.2
16,Aizawl,2025-01-01,149.13,11.0,76.9
17,Pauri,2025-01-01,92.93,20.4,64.8
18,Joshimath,2025-01-01,28.17,7.9,87.9
19,Itanagar,2025-01-01,260.55,24.6,54.7
20,Shimla,2025-01-02,281.84,13.2,97.9
21,Manali,2025-01-02,309.3,17.3,87.4
22,Dehradun,2025-01-02,278.91,28.4,94.2
23,Nainital,2025-01-02,41.25,30.4,82.2
24,Leh,2025-01-02,230.06,7.9,66.6
25,Gangtok,2025-01-02,65.32,17.5,86.1
26,Darjeeling,2025-01-02,168.18,18.1,55.1
27,Munnar,2025-01-02,18.05,27.5,71.8
28,Kedarnath,2025-01-02,282.21,18.3,42.4
29,Kargil,2025-01-02,24.98,17.2,75.1
30,Mussoorie,2025-01-02,223.64,13.4,68.9
31,Tawang,2025-01-02,347.06,16.5,84.9
32,Cherrapunji,2025-01-02,312.83,20.5,73.9
33,Pithoragarh,2025-01-02,64.09,21.6,50.4
34,Srinagar,2025-01-02,105.66,26.0,67.0
35,Aizawl,2025-01-02,268.56,17.3,37.0
36,Pauri,2025-01-02,14.63,16.8,54.7
37,Joshimath,2025-01-02,195.31,12.2,39.3
38,Itanagar,2025-01-02,120.46,31.5,69.1
39,Shimla,2025-01-03,312.26,25.0,75.2
40,Manali,2025-01-03,55.26,16.6,39.1
41,Dehradun,2025-01-03,25.02,30.8,51.5
42,Nainital,2025-01-03,139.1,17.7,45.9
43,Leh,2025-01-03,302.66,6.6,41.8
44,Gangtok,2025-01-03,245.34,5.9,51.8
45,Darjeeling,2025-01-03,315.03,22.8,40.9
46,Munnar,2025-01-03,145.49,22.8,56.5
47,Kedarnath,2025-01-03,233.01,27.9,66.3
48,Kargil,2025-01-03,89.33,25.7,72.7
49,Mussoorie,2025-01-03,198.47,8.8,46.2
50,Tawang,2025-01-03,349.04,14.5,87.8
51,Cherrapunji,2025-01-03,174.52,27.2,78.2
52,Pithoragarh,2025-01-03,188.33,12.2,74.6
53,Srinagar,2025-01-03,33.8,23.6,36.5
54,Aizawl,2025-01-03,328.18,31.1,63.6
55,Pauri,2025-01-03,285.74,22.2,38.6
56,Joshimath,2025-01-03,141.04,31.8,55.4
57,Itanagar,2025-01-03,111.9,13.7,73.7
58,Shimla,2025-01-04,304.21,17.5,89.3
59,Manali,2025-01-04,51.9,6.0,94.2
60,Dehradun,2025-01-04,117.24,21.0,40.5
61,Nainital,2025-01-04,99.66,14.0,83.8
62,Leh,2025-01-04,216.71,26.7,43.5
63,Gangtok,2025-01-04,166.69,6.7,74.2
64,Darjeeling,2025-01-04,90.04,28.8,95.0
65,Munnar,2025-01-04,18.22,16.2,59.3
66,Kedarnath,2025-01-04,143.38,17.7,41.0
67,Kargil,2025-01-04,348.73,18.5,53.9
68,Mussoorie,2025-01-04,111.87,18.6,36.6
69,Tawang,2025-01-04,276.61,18.4,43.9
70,Cherrapunji,2025-01-04,206.46,10.6,75.7
71,Pithoragarh,2025-01-04,338.85,13.8,81.9
72,Srinagar,2025-01-04,70.49,5.8,43.3
73,Aizawl,2025-01-04,305.62,31.5,58.5
74,Pauri,2025-01-04,199.15,12.3,50.8
75,Joshimath,2025-01-04,189.35,5.2,54.5
76,Itanagar,2025-01-04,6.26,10.4,93.0
77,Shimla,2025-01-05,13.38,19.5,42.6
78,Manali,2025-01-05,75.19,12.4,58.7
79,Dehradun,2025-01-05,8.61,18.9,44.6
80,Nainital,2025-01-05,113.79,16.1,42.3
81,Leh,2025-01-05,239.48,30.4,89.0
82,Gangtok,2025-01-05,86.07,13.0,75.6
83,Darjeeling,2025-01-05,48.22,16.2,61.1
84,Munnar,2025-01-05,7.57,14.3,68.1
85,Kedarnath,2025-01-05,93.66,27.1,64.2
86,Kargil,2025-01-05,198.03,24.7,83.5
87,Mussoorie,2025-01-05,329.67,26.1,65.2
88,Tawang,2025-01-05,177.35,17.6,49.0
89,Cherrapunji,2025-01-05,7.03,11.4,55.5
90,Pithoragarh,2025-01-05,115.68,27.6,55.3
91,Srinagar,2025-01-05,90.68,21.7,44.0
92,Aizawl,2025-01-05,232.65,29.3,89.9
93,Pauri,2025-01-05,91.38,14.2,66.8
94,Joshimath,2025-01-05,86.25,17.5,56.1
95,Itanagar,2025-01-05,284.62,23.1,60.2
96,Shimla,2025-01-06,310.17,16.1,60.0
97,Manali,2025-01-06,51.34,16.6,52.3
98,Dehradun,2025-01-06,266.97,28.6,50.1
99,Nainital,2025-01-06,83.39,28.5,65.5
100,Leh,2025-01-06,51.3,28.5,37.2
101,Gangtok,2025-01-06,320.64,23.1,93.5
102,Darjeeling,2025-01-06,299.62,10.6,95.4
103,Munnar,2025-01-06,67.39,29.1,48.3
104,Kedarnath,2025-01-06,21.24,18.3,61.6
105,Kargil,2025-01-06,70.45,26.2,58.4
106,Mussoorie,2025-01-06,234.51,31.4,43.1
107,Tawang,2025-01-06,126.12,24.4,60.9
108,Cherrapunji,2025-01-06,314.74,8.9,89.1
109,Pithoragarh,2025-01-06,93.23,31.0,94.1
110,Srinagar,2025-01-06,272.77,20.5,59.4
111,Aizawl,2025-01-06,345.98,12.1,52.5
112,Pauri,2025-01-06,280.03,14.2,94.3
113,Joshimath,2025-01-06,227.3,5.9,56.1
114,Itanagar,2025-01-06,110.69,14.0,52.9
115,Shimla,2025-01-07,11.17,15.5,50.2
116,Manali,2025-01-07,296.84,12.7,45.1
117,Dehradun,2025-01-07,132.89,28.7,97.4
118,Nainital,2025-01-07,223.25,19.8,61.4
119,Leh,2025-01-07,248.75,6.4,56.0
120,Gangtok,2025-01-07,108.21,25.7,52.5
121,Darjeeling,2025-01-07,319.6,21.1,67.3
122,Munnar,2025-01-07,154.92,11.5,37.5
123,Kedarnath,2025-01-07,34.53,11.4,63.5
124,Kargil,2025-01-07,215.08,17.1,59.2
125,Mussoorie,2025-01-07,273.48,21.9,94.6
126,Tawang,2025-01-07,163.49,7.1,48.4
127,Cherrapunji,2025-01-07,37.84,21.4,57.5
128,Pithoragarh,2025-01-07,84.05,13.7,35.7
129,Srinagar,2025-01-07,287.69,22.0,51.9
130,Aizawl,2025-01-07,134.39,8.8,69.5
131,Pauri,2025-01-07,246.8,5.3,84.4
132,Joshimath,2025-01-07,238.86,6.3,38.9
133,Itanagar,2025-01-07,169.1,27.1,96.7
134,Shimla,2025-01-08,134.78,28.0,41.0
135,Manali,2025-01-08,5.82,19.1,76.9
136,Dehradun,2025-01-08,341.7,31.2,92.6
137,Nainital,2025-01-08,223.91,31.3,63.8
138,Leh,2025-01-08,189.77,6.2,51.1
139,Gangtok,2025-01-08,51.76,18.5,42.7
140,Darjeeling,2025-01-08,100.28,7.0,68.2
141,Munnar,2025-01-08,227.15,31.2,79.2
142,Kedarnath,2025-01-08,226.38,18.9,61.9
143,Kargil,2025-01-08,349.08,24.1,81.3
144,Mussoorie,2025-01-08,141.94,20.6,90.9
145,Tawang,2025-01-08,38.51,17.7,47.3
146,Cherrapunji,2025-01-08,105.73,29.8,55.0
147,Pithoragarh,2025-01-08,295.1,29.6,77.1
